SysNo,ProvinceSysNo,CitySysNo,ProvinceName,CityName,DistrictName,
1121,27,121,江苏省,南京市,高淳县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1121,27,121,'江苏省','南京市','高淳县');"
1122,27,122,江苏省,无锡市,崇安区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1122,27,122,'江苏省','无锡市','崇安区');"
1123,27,122,江苏省,无锡市,南长区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1123,27,122,'江苏省','无锡市','南长区');"
1124,27,122,江苏省,无锡市,北塘区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1124,27,122,'江苏省','无锡市','北塘区');"
1125,27,122,江苏省,无锡市,锡山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1125,27,122,'江苏省','无锡市','锡山区');"
1126,27,122,江苏省,无锡市,惠山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1126,27,122,'江苏省','无锡市','惠山区');"
1127,27,122,江苏省,无锡市,滨湖区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1127,27,122,'江苏省','无锡市','滨湖区');"
1128,27,122,江苏省,无锡市,江阴市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1128,27,122,'江苏省','无锡市','江阴市');"
1129,27,122,江苏省,无锡市,宜兴市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1129,27,122,'江苏省','无锡市','宜兴市');"
1130,27,123,江苏省,徐州市,鼓楼区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1130,27,123,'江苏省','徐州市','鼓楼区');"
1131,27,123,江苏省,徐州市,云龙区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1131,27,123,'江苏省','徐州市','云龙区');"
1132,27,123,江苏省,徐州市,九里区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1132,27,123,'江苏省','徐州市','九里区');"
1133,27,123,江苏省,徐州市,贾汪区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1133,27,123,'江苏省','徐州市','贾汪区');"
1134,27,123,江苏省,徐州市,泉山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1134,27,123,'江苏省','徐州市','泉山区');"
1135,27,123,江苏省,徐州市,丰县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1135,27,123,'江苏省','徐州市','丰县');"
1136,27,123,江苏省,徐州市,沛县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1136,27,123,'江苏省','徐州市','沛县');"
1137,27,123,江苏省,徐州市,铜山县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1137,27,123,'江苏省','徐州市','铜山县');"
1138,27,123,江苏省,徐州市,睢宁县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1138,27,123,'江苏省','徐州市','睢宁县');"
1139,27,123,江苏省,徐州市,新沂市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1139,27,123,'江苏省','徐州市','新沂市');"
1140,27,123,江苏省,徐州市,邳州市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1140,27,123,'江苏省','徐州市','邳州市');"
1141,27,124,江苏省,常州市,天宁区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1141,27,124,'江苏省','常州市','天宁区');"
1142,27,124,江苏省,常州市,钟楼区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1142,27,124,'江苏省','常州市','钟楼区');"
1143,27,124,江苏省,常州市,戚墅堰区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1143,27,124,'江苏省','常州市','戚墅堰区');"
1144,27,124,江苏省,常州市,新北区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1144,27,124,'江苏省','常州市','新北区');"
1145,27,124,江苏省,常州市,武进区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1145,27,124,'江苏省','常州市','武进区');"
1147,27,124,江苏省,常州市,金坛市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1147,27,124,'江苏省','常州市','金坛市');"
1148,27,125,江苏省,苏州市,沧浪区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1148,27,125,'江苏省','苏州市','沧浪区');"
1149,27,125,江苏省,苏州市,平江区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1149,27,125,'江苏省','苏州市','平江区');"
1150,27,125,江苏省,苏州市,金阊区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1150,27,125,'江苏省','苏州市','金阊区');"
1151,27,125,江苏省,苏州市,虎丘区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1151,27,125,'江苏省','苏州市','虎丘区');"
1152,27,125,江苏省,苏州市,吴中区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1152,27,125,'江苏省','苏州市','吴中区');"
1153,27,125,江苏省,苏州市,相城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1153,27,125,'江苏省','苏州市','相城区');"
1154,27,125,江苏省,苏州市,常熟市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1154,27,125,'江苏省','苏州市','常熟市');"
1155,27,125,江苏省,苏州市,张家港市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1155,27,125,'江苏省','苏州市','张家港市');"
1156,27,125,江苏省,苏州市,昆山市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1156,27,125,'江苏省','苏州市','昆山市');"
1158,27,125,江苏省,苏州市,太仓市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1158,27,125,'江苏省','苏州市','太仓市');"
1159,27,126,江苏省,南通市,崇川区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1159,27,126,'江苏省','南通市','崇川区');"
1160,27,126,江苏省,南通市,港闸区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1160,27,126,'江苏省','南通市','港闸区');"
1161,27,126,江苏省,南通市,海安县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1161,27,126,'江苏省','南通市','海安县');"
1162,27,126,江苏省,南通市,如东县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1162,27,126,'江苏省','南通市','如东县');"
1163,27,126,江苏省,南通市,启东市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1163,27,126,'江苏省','南通市','启东市');"
1164,27,126,江苏省,南通市,如皋市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1164,27,126,'江苏省','南通市','如皋市');"
1165,27,126,江苏省,南通市,通州区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1165,27,126,'江苏省','南通市','通州区');"
1166,27,126,江苏省,南通市,海门市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1166,27,126,'江苏省','南通市','海门市');"
1174,27,128,江苏省,淮安市,清河区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1174,27,128,'江苏省','淮安市','清河区');"
1175,27,128,江苏省,淮安市,楚州区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1175,27,128,'江苏省','淮安市','楚州区');"
1176,27,128,江苏省,淮安市,淮阴区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1176,27,128,'江苏省','淮安市','淮阴区');"
1177,27,128,江苏省,淮安市,清浦区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1177,27,128,'江苏省','淮安市','清浦区');"
1178,27,128,江苏省,淮安市,涟水县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1178,27,128,'江苏省','淮安市','涟水县');"
1179,27,128,江苏省,淮安市,洪泽县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1179,27,128,'江苏省','淮安市','洪泽县');"
1180,27,128,江苏省,淮安市,盱眙县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1180,27,128,'江苏省','淮安市','盱眙县');"
1181,27,128,江苏省,淮安市,金湖县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1181,27,128,'江苏省','淮安市','金湖县');"
1182,27,129,江苏省,盐城市,亭湖区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1182,27,129,'江苏省','盐城市','亭湖区');"
1183,27,129,江苏省,盐城市,盐都区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1183,27,129,'江苏省','盐城市','盐都区');"
1184,27,129,江苏省,盐城市,响水县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1184,27,129,'江苏省','盐城市','响水县');"
1185,27,129,江苏省,盐城市,滨海县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1185,27,129,'江苏省','盐城市','滨海县');"
1186,27,129,江苏省,盐城市,阜宁县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1186,27,129,'江苏省','盐城市','阜宁县');"
1187,27,129,江苏省,盐城市,射阳县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1187,27,129,'江苏省','盐城市','射阳县');"
1188,27,129,江苏省,盐城市,建湖县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1188,27,129,'江苏省','盐城市','建湖县');"
1189,27,129,江苏省,盐城市,东台市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1189,27,129,'江苏省','盐城市','东台市');"
1190,27,129,江苏省,盐城市,大丰市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1190,27,129,'江苏省','盐城市','大丰市');"
1191,27,130,江苏省,扬州市,广陵区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1191,27,130,'江苏省','扬州市','广陵区');"
1192,27,130,江苏省,扬州市,邗江区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1192,27,130,'江苏省','扬州市','邗江区');"
1193,27,130,江苏省,扬州市,维扬区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1193,27,130,'江苏省','扬州市','维扬区');"
1194,27,130,江苏省,扬州市,宝应县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1194,27,130,'江苏省','扬州市','宝应县');"
1195,27,130,江苏省,扬州市,仪征市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1195,27,130,'江苏省','扬州市','仪征市');"
1196,27,130,江苏省,扬州市,高邮市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1196,27,130,'江苏省','扬州市','高邮市');"
1197,27,130,江苏省,扬州市,江都市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1197,27,130,'江苏省','扬州市','江都市');"
1198,27,131,江苏省,镇江市,京口区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1198,27,131,'江苏省','镇江市','京口区');"
1199,27,131,江苏省,镇江市,润州区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1199,27,131,'江苏省','镇江市','润州区');"
1200,27,131,江苏省,镇江市,丹徒区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1200,27,131,'江苏省','镇江市','丹徒区');"
1201,27,131,江苏省,镇江市,丹阳市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1201,27,131,'江苏省','镇江市','丹阳市');"
1202,27,131,江苏省,镇江市,扬中市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1202,27,131,'江苏省','镇江市','扬中市');"
1203,27,131,江苏省,镇江市,句容市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1203,27,131,'江苏省','镇江市','句容市');"
1204,27,132,江苏省,泰州市,海陵区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1204,27,132,'江苏省','泰州市','海陵区');"
1205,27,132,江苏省,泰州市,高港区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1205,27,132,'江苏省','泰州市','高港区');"
1206,27,132,江苏省,泰州市,兴化市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1206,27,132,'江苏省','泰州市','兴化市');"
1207,27,132,江苏省,泰州市,靖江市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1207,27,132,'江苏省','泰州市','靖江市');"
1208,27,132,江苏省,泰州市,泰兴市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1208,27,132,'江苏省','泰州市','泰兴市');"
1209,27,132,江苏省,泰州市,姜堰区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1209,27,132,'江苏省','泰州市','姜堰区');"
1215,28,134,浙江省,杭州市,上城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1215,28,134,'浙江省','杭州市','上城区');"
1216,28,134,浙江省,杭州市,下城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1216,28,134,'浙江省','杭州市','下城区');"
1217,28,134,浙江省,杭州市,江干区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1217,28,134,'浙江省','杭州市','江干区');"
1218,28,134,浙江省,杭州市,拱墅区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1218,28,134,'浙江省','杭州市','拱墅区');"
1219,28,134,浙江省,杭州市,西湖区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1219,28,134,'浙江省','杭州市','西湖区');"
1220,28,134,浙江省,杭州市,滨江区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1220,28,134,'浙江省','杭州市','滨江区');"
1221,28,134,浙江省,杭州市,萧山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1221,28,134,'浙江省','杭州市','萧山区');"
1222,28,134,浙江省,杭州市,余杭区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1222,28,134,'浙江省','杭州市','余杭区');"
1223,28,134,浙江省,杭州市,桐庐县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1223,28,134,'浙江省','杭州市','桐庐县');"
1224,28,134,浙江省,杭州市,淳安县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1224,28,134,'浙江省','杭州市','淳安县');"
1225,28,134,浙江省,杭州市,建德市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1225,28,134,'浙江省','杭州市','建德市');"
1226,28,134,浙江省,杭州市,富阳市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1226,28,134,'浙江省','杭州市','富阳市');"
1227,28,134,浙江省,杭州市,临安市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1227,28,134,'浙江省','杭州市','临安市');"
1228,28,135,浙江省,宁波市,海曙区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1228,28,135,'浙江省','宁波市','海曙区');"
1229,28,135,浙江省,宁波市,江东区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1229,28,135,'浙江省','宁波市','江东区');"
1230,28,135,浙江省,宁波市,江北区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1230,28,135,'浙江省','宁波市','江北区');"
1231,28,135,浙江省,宁波市,北仑区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1231,28,135,'浙江省','宁波市','北仑区');"
1233,28,135,浙江省,宁波市,鄞州区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1233,28,135,'浙江省','宁波市','鄞州区');"
1234,28,135,浙江省,宁波市,象山县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1234,28,135,'浙江省','宁波市','象山县');"
1239,28,136,浙江省,温州市,鹿城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1239,28,136,'浙江省','温州市','鹿城区');"
1240,28,136,浙江省,温州市,龙湾区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1240,28,136,'浙江省','温州市','龙湾区');"
1241,28,136,浙江省,温州市,瓯海区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1241,28,136,'浙江省','温州市','瓯海区');"
1242,28,136,浙江省,温州市,洞头县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1242,28,136,'浙江省','温州市','洞头县');"
1243,28,136,浙江省,温州市,永嘉县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1243,28,136,'浙江省','温州市','永嘉县');"
1244,28,136,浙江省,温州市,平阳县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1244,28,136,'浙江省','温州市','平阳县');"
1245,28,136,浙江省,温州市,苍南县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1245,28,136,'浙江省','温州市','苍南县');"
1246,28,136,浙江省,温州市,文成县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1246,28,136,'浙江省','温州市','文成县');"
1247,28,136,浙江省,温州市,泰顺县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1247,28,136,'浙江省','温州市','泰顺县');"
1248,28,136,浙江省,温州市,瑞安市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1248,28,136,'浙江省','温州市','瑞安市');"
1249,28,136,浙江省,温州市,乐清市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1249,28,136,'浙江省','温州市','乐清市');"
1250,28,137,浙江省,嘉兴市,秀城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1250,28,137,'浙江省','嘉兴市','秀城区');"
1251,28,137,浙江省,嘉兴市,秀洲区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1251,28,137,'浙江省','嘉兴市','秀洲区');"
1252,28,137,浙江省,嘉兴市,嘉善县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1252,28,137,'浙江省','嘉兴市','嘉善县');"
1253,28,137,浙江省,嘉兴市,海盐县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1253,28,137,'浙江省','嘉兴市','海盐县');"
1254,28,137,浙江省,嘉兴市,海宁市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1254,28,137,'浙江省','嘉兴市','海宁市');"
1255,28,137,浙江省,嘉兴市,平湖市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1255,28,137,'浙江省','嘉兴市','平湖市');"
1256,28,137,浙江省,嘉兴市,桐乡市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1256,28,137,'浙江省','嘉兴市','桐乡市');"
1257,28,138,浙江省,湖州市,吴兴区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1257,28,138,'浙江省','湖州市','吴兴区');"
1258,28,138,浙江省,湖州市,南浔区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1258,28,138,'浙江省','湖州市','南浔区');"
1259,28,138,浙江省,湖州市,德清县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1259,28,138,'浙江省','湖州市','德清县');"
1260,28,138,浙江省,湖州市,长兴县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1260,28,138,'浙江省','湖州市','长兴县');"
1261,28,138,浙江省,湖州市,安吉县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1261,28,138,'浙江省','湖州市','安吉县');"
1262,28,139,浙江省,绍兴市,越城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1262,28,139,'浙江省','绍兴市','越城区');"
1263,28,139,浙江省,绍兴市,绍兴县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1263,28,139,'浙江省','绍兴市','绍兴县');"
1264,28,139,浙江省,绍兴市,新昌县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1264,28,139,'浙江省','绍兴市','新昌县');"
1265,28,139,浙江省,绍兴市,诸暨市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1265,28,139,'浙江省','绍兴市','诸暨市');"
1266,28,139,浙江省,绍兴市,上虞市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1266,28,139,'浙江省','绍兴市','上虞市');"
1267,28,139,浙江省,绍兴市,嵊州市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1267,28,139,'浙江省','绍兴市','嵊州市');"
1268,28,140,浙江省,金华市,婺城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1268,28,140,'浙江省','金华市','婺城区');"
1269,28,140,浙江省,金华市,金东区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1269,28,140,'浙江省','金华市','金东区');"
1270,28,140,浙江省,金华市,武义县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1270,28,140,'浙江省','金华市','武义县');"
1271,28,140,浙江省,金华市,浦江县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1271,28,140,'浙江省','金华市','浦江县');"
1272,28,140,浙江省,金华市,磐安县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1272,28,140,'浙江省','金华市','磐安县');"
1273,28,140,浙江省,金华市,兰溪市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1273,28,140,'浙江省','金华市','兰溪市');"
1274,28,140,浙江省,金华市,义乌市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1274,28,140,'浙江省','金华市','义乌市');"
1275,28,140,浙江省,金华市,东阳市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1275,28,140,'浙江省','金华市','东阳市');"
1276,28,140,浙江省,金华市,永康市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1276,28,140,'浙江省','金华市','永康市');"
1283,28,142,浙江省,舟山市,定海区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1283,28,142,'浙江省','舟山市','定海区');"
1284,28,142,浙江省,舟山市,普陀区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1284,28,142,'浙江省','舟山市','普陀区');"
1285,28,142,浙江省,舟山市,岱山县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1285,28,142,'浙江省','舟山市','岱山县');"
1286,28,142,浙江省,舟山市,嵊泗县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1286,28,142,'浙江省','舟山市','嵊泗县');"
1287,28,143,浙江省,台州市,椒江区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1287,28,143,'浙江省','台州市','椒江区');"
1288,28,143,浙江省,台州市,黄岩区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1288,28,143,'浙江省','台州市','黄岩区');"
1289,28,143,浙江省,台州市,路桥区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1289,28,143,'浙江省','台州市','路桥区');"
1290,28,143,浙江省,台州市,玉环县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1290,28,143,'浙江省','台州市','玉环县');"
1291,28,143,浙江省,台州市,三门县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1291,28,143,'浙江省','台州市','三门县');"
1292,28,143,浙江省,台州市,天台县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1292,28,143,'浙江省','台州市','天台县');"
1293,28,143,浙江省,台州市,仙居县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1293,28,143,'浙江省','台州市','仙居县');"
1294,28,143,浙江省,台州市,温岭市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1294,28,143,'浙江省','台州市','温岭市');"
1295,28,143,浙江省,台州市,临海市,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1295,28,143,'浙江省','台州市','临海市');"
1305,29,145,安徽省,合肥市,瑶海区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1305,29,145,'安徽省','合肥市','瑶海区');"
1306,29,145,安徽省,合肥市,庐阳区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1306,29,145,'安徽省','合肥市','庐阳区');"
1307,29,145,安徽省,合肥市,蜀山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1307,29,145,'安徽省','合肥市','蜀山区');"
1308,29,145,安徽省,合肥市,包河区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1308,29,145,'安徽省','合肥市','包河区');"
1309,29,145,安徽省,合肥市,长丰县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1309,29,145,'安徽省','合肥市','长丰县');"
1310,29,145,安徽省,合肥市,肥东县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1310,29,145,'安徽省','合肥市','肥东县');"
1311,29,145,安徽省,合肥市,肥西县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1311,29,145,'安徽省','合肥市','肥西县');"
